Año,Sector IPCC,Categoría IPCC,Sub Categoría IPCC,Fuente IPCC,Sub Fuente IPCC,CO2,CH4,N2O,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,PFC-CF4,PFC-C2F6,SF6,CN
1991,2 Procesos industriales y uso de productos,2F Uso de productos sustitutos de las sustancias que agotan la capa de ozono,2F6 Otras aplicaciones,,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2G Manufactura y utilización de otros productos,2G1 Equipos eléctricos,,,0,0,0,,,,,,,,,,,,,,,,,35.038,0
1991,2 Procesos industriales y uso de productos,2G Manufactura y utilización de otros productos,2G2 SF6 y PFC de otros usos de productos,,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2G Manufactura y utilización de otros productos,2G3 N2O de usos de productos,,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2G Manufactura y utilización de otros productos,2G4 Otros,,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2H Otros,2H1 Industria de la pulpa y el papel,,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2H Otros,2H2 Industria de la alimentación y las bebidas,,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,2 Procesos industriales y uso de productos,2H Otros,2H3 Otros,,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,"3 Agricultura, silvicultura y otros usos de la tierra",3A Ganado,3A1 Fermentación entérica,3A1a Bovino,,0,"47,524.46",0,,,,,,,,,,,,,,,,,,0
1991,"3 Agricultura, silvicultura y otros usos de la tierra",3A Ganado,3A1 Fermentación entérica,3A1b Búfalos,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,"3 Agricultura, silvicultura y otros usos de la tierra",3A Ganado,3A1 Fermentación entérica,3A1c Ovinos,,0,849.965,0,,,,,,,,,,,,,,,,,,0
1991,"3 Agricultura, silvicultura y otros usos de la tierra",3A Ganado,3A1 Fermentación entérica,3A1d Caprino,,0,"1,407.19",0,,,,,,,,,,,,,,,,,,0
1991,"3 Agricultura, silvicultura y otros usos de la tierra",3A Ganado,3A1 Fermentación entérica,3A1e Camello,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,"3 Agricultura, silvicultura y otros usos de la tierra",3A Ganado,3A1 Fermentación entérica,3A1f Caballos,,0,"1,463.92",0,,,,,,,,,,,,,,,,,,0
1991,"3 Agricultura, silvicultura y otros usos de la tierra",3A Ganado,3A1 Fermentación entérica,3A1g Mulas y asnos,,0,637.304,0,,,,,,,,,,,,,,,,,,0
1991,"3 Agricultura, silvicultura y otros usos de la tierra",3A Ganado,3A1 Fermentación entérica,3A1h Porcinos,,0,275.24,0,,,,,,,,,,,,,,,,,,0
1991,"3 Agricultura, silvicultura y otros usos de la tierra",3A Ganado,3A1 Fermentación entérica,3A1i Otros  (especificar),,0,0,0,,,,,,,,,,,,,,,,,,0
1991,"3 Agricultura, silvicultura y otros usos de la tierra",3A Ganado,3A2 Gestión del estiércol,3A2a Bovinos,,0,"5,577.09","2,312.96",,,,,,,,,,,,,,,,,,0
1991,"3 Agricultura, silvicultura y otros usos de la tierra",3A Ganado,3A2 Gestión del estiércol,3A2b Búfalos,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,"3 Agricultura, silvicultura y otros usos de la tierra",3A Ganado,3A2 Gestión del estiércol,3A2c Ovinos,,0,26.181,0,,,,,,,,,,,,,,,,,,0
1991,"3 Agricultura, silvicultura y otros usos de la tierra",3A Ganado,3A2 Gestión del estiércol,3A2d Caprino,,0,43.92,0,,,,,,,,,,,,,,,,,,0
1991,"3 Agricultura, silvicultura y otros usos de la tierra",3A Ganado,3A2 Gestión del estiércol,3A2e Camello,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,"3 Agricultura, silvicultura y otros usos de la tierra",3A Ganado,3A2 Gestión del estiércol,3A2f Caballos,,0,139.419,0,,,,,,,,,,,,,,,,,,0
1991,"3 Agricultura, silvicultura y otros usos de la tierra",3A Ganado,3A2 Gestión del estiércol,3A2g Mulas y asnos,,0,61.015,0,,,,,,,,,,,,,,,,,,0
1991,"3 Agricultura, silvicultura y otros usos de la tierra",3A Ganado,3A2 Gestión del estiércol,3A2h Porcinos,,0,"4,290.11",331.09,,,,,,,,,,,,,,,,,,0
1991,"3 Agricultura, silvicultura y otros usos de la tierra",3A Ganado,3A2 Gestión del estiércol,3A2i Aves de corral,,0,87.303,170.045,,,,,,,,,,,,,,,,,,0
1991,"3 Agricultura, silvicultura y otros usos de la tierra",3A Ganado,3A2 Gestión del estiércol,3A2g Otros  (especificar),,0,0,0,,,,,,,,,,,,,,,,,,0
1991,"3 Agricultura, silvicultura y otros usos de la tierra",3B Tierra,3B1 Tierra forestales,3B1a Tierras forestales que permanecen como tal,,"-134,150.52",0,0,,,,,,,,,,,,,,,,,,0
1991,"3 Agricultura, silvicultura y otros usos de la tierra",3B Tierra,3B1 Tierra forestales,3B1b Tierras convertidas a tierras forestales,,"-4,278.98",0,0,,,,,,,,,,,,,,,,,,0
1991,"3 Agricultura, silvicultura y otros usos de la tierra",3B Tierra,3B2 Tierra de cultivo,3B2a Tierras de cultivo que permanecen como tal,,"-12,551.08",0,0,,,,,,,,,,,,,,,,,,0
1991,"3 Agricultura, silvicultura y otros usos de la tierra",3B Tierra,3B2 Tierra de cultivo,3B2b Tierras convertidas a tierras de cultivo,,"10,958.49",0,0,,,,,,,,,,,,,,,,,,0
1991,"3 Agricultura, silvicultura y otros usos de la tierra",3B Tierra,3B3 Praderas,3B3a Praderas que permanecen como tal,,"-15,674.44",0,0,,,,,,,,,,,,,,,,,,0
1991,"3 Agricultura, silvicultura y otros usos de la tierra",3B Tierra,3B3 Praderas,3B3b Tierras convertidas en praderas,,"5,602.36",0,0,,,,,,,,,,,,,,,,,,0
1991,"3 Agricultura, silvicultura y otros usos de la tierra",3B Tierra,3B4 Humedales,3B4a Humedales que permanecen como tal,,0,0,0,,,,,,,,,,,,,,,,,,0
1991,"3 Agricultura, silvicultura y otros usos de la tierra",3B Tierra,3B4 Humedales,3B4b Tierras convertidas en humedales,,171.63,0,0,,,,,,,,,,,,,,,,,,0
